ETF,Cluster,AssetClass
EFA,1,Foreign Large Blend
EWG,8,Miscellaneous Region
EWU,1,Miscellaneous Region
EWW,4,Miscellaneous Region
FEMKX,1,Unknown
FLPSX,9,Unknown
IJS,2,Small Value
IJT,2,Small Growth
IVV,0,Large Blend
IWM,2,Small Blend
JUEAX,0,Unknown
MACSX,6,Unknown
MASKX,2,Unknown
MDY,2,Mid-Cap Blend
QQQ,0,Large Growth
SLYV,2,Small Value
SPY,0,Large Blend
SWPPX,0,Unknown
SWSSX,2,Unknown
TGINX,3,Unknown
VBIRX,3,Unknown
VFIAX,0,Unknown
VGENX,5,Unknown
VGSLX,7,Unknown
VTI,0,Large Blend
VTRIX,1,Unknown
VTSAX,0,Unknown
VVIAX,0,Unknown
YACKX,9,Unknown
