,alpha,beta_mkt,beta_smb,beta_hml,r_squared
EFA,-7.32074627147995e-05,0.9323260624003217,-0.0613811947482946,0.14702711112700143,0.7639750033259871
EWG,-8.54202163010015e-05,1.0601139998899358,-0.03972500856512778,0.12647650327080168,0.6639098093683478
EWU,-9.856865039997002e-05,0.9188359757931517,-0.10945775928705695,0.2629651589419717,0.6715993907670198
EWW,3.794566577318475e-05,0.9801729118131542,0.05798937824153322,0.27273755522282794,0.5285206101887614
FEMKX,7.883647873110131e-05,0.8339886404431068,0.020757098201204062,-0.004994480023382754,0.5839860434352631
FLPSX,0.00037301475471424506,0.7838322983209703,0.22322648230248135,0.25244748059149447,0.7640164397309108
IJS,-2.411640982363494e-05,0.9786677576673749,0.866704351961927,0.5401535327887549,0.9461751693766197
IJT,-5.198461910550654e-06,0.9994243976715047,0.775864106001765,0.19203871747712348,0.9536766867213893
IVV,-7.289542537167618e-06,0.9827115024929637,-0.1225746121814122,0.004977718715254761,0.9871594782963843
IWM,-5.673799670246118e-05,1.0426819511609566,0.8588461521001111,0.238524230357454,0.9726517731080129
JUEAX,0.00020437996885771224,1.0112927972263948,-0.11089895341013867,-0.007501513146734009,0.8629801858768846
MACSX,0.00023640357676575153,0.4495940518591828,0.02796461354694449,0.00015253208104217876,0.38303701634203924
MASKX,6.531793014749848e-05,1.0500067444968002,0.9171405457099342,0.25831576980065923,0.9364777909950202
MDY,-1.605745134741329e-05,1.009372078634786,0.43619340771624,0.23999907316214217,0.9396141116855645
QQQ,9.907355739550634e-05,1.107759826682938,-0.03175879639466967,-0.41881956317585983,0.8823246295072207
SLYV,6.967851530096807e-06,0.9379152418640611,0.7780086343766334,0.5559513023567828,0.9199310254202743
SPY,-9.4893288663197e-06,0.9874797087177922,-0.13025576079339748,-0.004058880874910723,0.9827699421842105
SWPPX,-6.379750384951704e-06,0.9934226883019179,-0.1299773478814019,0.010725380827479956,0.9933712632988831
SWSSX,6.254287750907262e-05,1.0394764813389406,0.861424175723737,0.2627808063192236,0.9229878466513923
TGINX,0.00012418271022184306,0.11369359288190836,0.004276623193488887,0.01328668440737317,0.0795625530790659
VBIRX,5.125889914724849e-05,-0.027100364120194263,0.012169945055459227,-0.015710378169283817,0.05652836342596812
VFIAX,-7.6133145638781275e-06,0.9975688132522668,-0.13134152820123718,0.010576365586192855,0.9969254459493668
VGENX,0.0001116656547851542,0.9704948238444081,-0.038619242702650075,0.4696930675480216,0.6050577879761765
VGSLX,-2.3051339571393013e-06,0.9936500881321484,0.23499162424854902,0.5577736959770306,0.5873540723998065
VTI,-2.945563575158562e-06,0.9881311299719848,-0.010957926737761185,0.009481780333167888,0.9900080732628267
VTRIX,4.18983162835125e-05,0.8166529795270437,-0.004130005231097601,0.19528761466873595,0.6779855977374092
VTSAX,-6.144767095157132e-06,1.002264905216476,-0.0062542953130491925,0.022681474432158778,0.9983145542252687
VVIAX,-2.149313126282302e-05,0.9426022335244294,-0.1434057185702602,0.34010511028816676,0.9630147427695008
YACKX,0.00040271501343469205,0.7133556982179037,-0.052050511075212254,0.23121199980630286,0.617834120669611
