ETF,Weight
VBIRX,0.06689585784791001
FEMKX,0.062207633775051514
JUEAX,0.06193785475574263
TGINX,0.03396090472744577
MACSX,0.03328285477667062
YACKX,0.03233026145607546
FLPSX,0.031919971880559735
VTRIX,0.0316339412568506
IVV,0.0314997715493285
VTI,0.03136530589177195
VVIAX,0.031342065814572044
SPY,0.031211201623528462
SWPPX,0.031201462600299903
VFIAX,0.031195277554614955
EFA,0.031144052157183515
VTSAX,0.03113980320000558
EWU,0.03112623331276986
QQQ,0.030956282521705725
MDY,0.03078653086915878
VGENX,0.030567802521745815
SLYV,0.030534876502017305
IJT,0.030479637449417556
EWW,0.03031691733884176
IJS,0.030229095632776152
IWM,0.03022664482032387
VGSLX,0.03019647673884515
SWSSX,0.03015680011326729
EWG,0.030095324639702707
MASKX,0.030059156671816783
